ACTIONTYPE,ACTIONDATE,ASSISTANCETYPE,RECORDTYPE,FAIN,AWARDMODIFICATIONAMENDMENTNUM,URI,CORRECTIONLATEDELETEIND,FISCALYEARANDQTRCORRECTION,SAI_NUM,AWARDEEORRECIPIENTLEGALENTITYNAME,AWARDEEORRECIPIENTUNIQUEIDENTIFIER,LEGALENTITYADDRLINE1,LEGALENTITYADDRLINE2,LEGALENTITYADDRLINE3,LEGALENTITYCITYNAME,LEGALENTITYSTATECD,LEGALENTITYZIP5,LEGALENTITYZIPLAST4,LEGALENTITYCOUNTRYCD,LEGALENTITYFOREIGNCITYNAME,LEGALENTITYFOREIGNPROVINCENAME,LEGALENTITYFOREIGNPOSTALCD,LEGALENTITYCONGRESSIONALDISTRICT,BUSINESSTYPES,FUNDINGAGENCYCD,FUNDINGSUBTIERAGENCYCD,FUNDINGOFFICECD,AWARDINGAGENCYCD,AWARDINGSUBTIERAGENCYCD,AWARDINGOFFICECD,CFDA_NUM,PRIMPLACEOFPERFORMANCECD,PRIMPLACEOFPERFORMANCECOUNTRYCD,PRIMPLACEOFPERFORMANCEZIP+4,PRIMPLACEOFPERFORMANCEFOREIGNLOCATIONDESC,PRIMPLACEOFPERFORMANCECONGRESSIONALDISTRICT,AWARDDESC,PERIODOFPERFORMANCESTARTDATE,PERIODOFPERFORMANCECURRENTENDDATE,FEDERALACTIONOBLIGATION,NONFEDERALFUNDINGAMOUNT,FACEVALUEOFDIRECTLOANORLOANGUARANTEE,ORIGINALLOANSUBSIDYCOST,BUSINESSFUNDSINDICATOR
A,20200803,07,2,2443918208,1,,,,SAI Exempt,AKIKO'S SUSHI BAR INC.,,726 Noriega St,,,SAN FRANCISCO,CA,94122,4542,USA,,,,12,R,073,7300,732990,073,7300,732990,59.008,CA**075,USA,,,12,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,144000.00,19612.80,NON
A,20200803,07,2,2446098206,1,,,,SAI Exempt,DITZLER GENERAL CONTRACTING INC,,212 WILE AVE,,,SOUDERTON,PA,18964,1624,USA,,,,01,R,073,7300,732990,073,7300,732990,59.008,PA**091,USA,,,01,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,25300.00,3445.86,NON
A,20200803,07,2,2448018208,1,,,,SAI Exempt,"HERMAN CLEANERS, LLC",,5590 KEYSTONE PINE WAY,,,DUBLIN,OH,43016,9472,USA,,,,12,R,073,7300,732990,073,7300,732990,59.008,OH**049,USA,,,12,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,100000.00,13620.00,NON
A,20200803,07,2,2449338201,1,,,,SAI Exempt,"RSM REALTY, LLC",,706 OXFORD RD,,,YPSILANTI,MI,48197,2146,USA,,,,12,R,073,7300,732990,073,7300,732990,59.008,MI**161,USA,,,12,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,28600.00,3895.32,NON
A,20200803,07,2,2455458209,1,,,,SAI Exempt,PINK PALETTE ARTISTS LLC,,7738 HERON LAKES DR,,,HOUSTON,TX,77064,1739,USA,,,,02,R,073,7300,732990,073,7300,732990,59.008,TX**201,USA,,,02,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,98400.00,13402.08,NON
A,20200803,07,2,2462318200,1,,,,SAI Exempt,MAINSOURCE LLC,,26493 E UNIVERSITY DR APT 723,,,AUBREY,TX,76227,1660,USA,,,,26,R,073,7300,732990,073,7300,732990,59.008,TX**121,USA,,,26,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,9000.00,1225.80,NON
A,20200803,07,2,2466168200,1,,,,SAI Exempt,BETH PREDDY PUBLIC RELATIONS INC,,3587 SANTIAGO WAY,,,NAPLES,FL,34105,2781,USA,,,,19,R,073,7300,732990,073,7300,732990,59.008,FL**021,USA,,,19,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,19000.00,2587.80,NON
A,20200803,07,2,2502708205,1,,,,SAI Exempt,"AVENIR THINKING, INC.",,2445 FIFTH AVENUE,,,SAN DIEGO,CA,92101,1685,USA,,,,52,R,073,7300,732990,073,7300,732990,59.008,CA**073,USA,,,52,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,115600.00,15744.72,NON
A,20200803,07,2,2484128203,1,,,,SAI Exempt,HERMAN GREEN,,61 PHYFE ROAD,,,FAIRFIELD,CT,06824,3852,USA,,,,04,PR,073,7300,732990,073,7300,732990,59.008,CT**001,USA,,,04,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,120000.00,16344.00,NON
A,20200803,07,2,2493458210,1,,,,SAI Exempt,GAHANNA SPORTS FACTORY LLC,,776 MORRISON ROAD,,,GAHANNA,OH,43230,6642,USA,,,,03,R,073,7300,732990,073,7300,732990,59.008,OH**049,USA,,,03,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,85300.00,11617.86,NON
A,20200803,07,2,2506768209,1,,,,SAI Exempt,"PELARAVE INTERNATIONAL, LLC",,1836 Holcombs Pond Court,,,Alpharetta,GA,30022,0001,USA,,,,06,R,073,7300,732990,073,7300,732990,59.008,GA**121,USA,,,06,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,45800.00,6237.96,NON
A,20200803,07,2,2519448206,1,,,,SAI Exempt,"ATTORNEY JOSEPH J. D'AGOSTINO, JR., LLC",,101 MADISON ROAD,,,DURHAM,CT,06422,2910,USA,,,,03,R,073,7300,732990,073,7300,732990,59.008,CT**009,USA,,,03,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,46000.00,6265.20,NON
A,20200803,07,2,2567788208,1,,,,SAI Exempt,JASON SAWYER,,10810 WALKER STREET SUITE 206,,,CYPRESS,CA,90630,5011,USA,,,,47,PR,073,7300,732990,073,7300,732990,59.008,CA**059,USA,,,47,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,60000.00,8172.00,NON
A,20200803,07,2,2649028207,1,,,,SAI Exempt,"GREENSTONES CIE, INC.",,454 COLUMBUS AVE,,,NEW YORK,NY,10024,5130,USA,,,,10,R,073,7300,732990,073,7300,732990,59.008,NY**061,USA,,,10,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,30000.00,4086.00,NON
A,20200803,07,2,2643098205,1,,,,SAI Exempt,ELIZABETH MARTIN,,4256 N SCENIC DR,,,PROVO,UT,84604,4731,USA,,,,03,PR,073,7300,732990,073,7300,732990,59.008,UT**049,USA,,,03,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,50000.00,6810.00,NON
A,20200803,07,2,2646078205,1,,,,SAI Exempt,STEPHANIE BOGGIER,,15 EMILY LANE,,,PEMBROKE,MA,02359,3833,USA,,,,09,PR,073,7300,732990,073,7300,732990,59.008,MA**023,USA,,,09,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,20900.00,2846.58,NON
A,20200803,07,2,2706988210,1,,,,SAI Exempt,KAYLA MEASNER,,13500 TEMPLE ST,,,SEBRING,FL,33875,9441,USA,,,,17,PR,073,7300,732990,073,7300,732990,59.008,FL**055,USA,,,17,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,5100.00,694.62,NON
A,20200803,07,2,2716408204,1,,,,SAI Exempt,CRENSHAW EVICTIONS INC,,8400 CRENSHAW BLVD,,,INGLEWOOD,CA,90305,1914,USA,,,,43,R,073,7300,732990,073,7300,732990,59.008,CA**037,USA,,,43,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,50800.00,6918.96,NON
A,20200803,07,2,2771338210,1,,,,SAI Exempt,DALE FOX,,2528 SE 17TH ST,,,OCALA,FL,34471,5523,USA,,,,03,PR,073,7300,732990,073,7300,732990,59.008,FL**083,USA,,,03,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,20000.00,2724.00,NON
A,20200803,07,2,2758978209,1,,,,SAI Exempt,"MOHAMMED FAIZ AHMED, M.D., A PROFESSIONAL CORPORATION",,360 S CLOVER AVE,,,SAN JOSE,CA,95128,5118,USA,,,,18,R,073,7300,732990,073,7300,732990,59.008,CA**085,USA,,,19,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,122000.00,16616.40,NON
A,20200803,07,2,2770538209,1,,,,SAI Exempt,AHMAD P. KAMAL,,204 GREGORY ST APT D,,,AURORA,IL,60504,2100,USA,,,,11,PR,073,7300,732990,073,7300,732990,59.008,IL**031,USA,,,05,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,39400.00,5366.28,NON
A,20200803,07,2,2781648202,1,,,,SAI Exempt,"NOAH'S ARK AQUARIUM & PET SHOP, LLC",,31 ROUTE 22 STE 12,,,PAWLING,NY,12564,3213,USA,,,,19,R,073,7300,732990,073,7300,732990,59.008,NY**027,USA,,,19,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,33500.00,4562.70,NON
A,20200803,07,2,2781688203,1,,,,SAI Exempt,ABM REMODELING CORP,,23108 POST GARDENS WAY APT 201,,,BOCA RATON,FL,33433,7107,USA,,,,22,R,073,7300,732990,073,7300,732990,59.008,FL**099,USA,,,22,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,26000.00,3541.20,NON
A,20200803,07,2,2811098205,1,,,,SAI Exempt,"KATANA ENT, LLC",,712 VERNON AVE,,,VENICE,CA,90291,2739,USA,,,,33,R,073,7300,732990,073,7300,732990,59.008,CA**037,USA,,,33,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,49000.00,6673.80,NON
C,20201016,07,2,2811098205,8,,,,SAI Exempt,"KATANA ENT, LLC",,712 VERNON AVE,,,VENICE,CA,90291,2739,USA,,,,33,R,073,7300,732990,073,7300,732990,59.008,CA**037,USA,,,33,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,-49000.00,-6673.80,NON
A,20200803,07,2,2836198207,1,,,,SAI Exempt,"TEAFORD ENTERPRISES, LLC",,8121 SHADOW TERRACE,,,TOBYHANNA,PA,18466,3410,USA,,,,08,R,073,7300,732990,073,7300,732990,59.008,PA**089,USA,,,08,TO PROVIDE LOANS TO RESTORE AS NEARLY AS POSSIBLE THE VICTIMS OF ECONOMIC INJURY TYPE DISASTERS TO PRE-DISASTER CONDITIONS,,,,,24100.00,3282.42,NON
